	Word	Frequency in Positive	Conditional of P(wi/positive)	Frequency in Negative	Conditional of P(wi/negative)
66	yell	1	9.885330170027679e-05	2	0.000385579332947754
67	next	6	0.0005931198102016608	3	0.000578368999421631
68	strauss	2	0.00019770660340055358	1	0.000192789666473877
69	visits	2	0.00019770660340055358	1	0.000192789666473877
70	russ	1	9.885330170027679e-05	4	0.000771158665895508
71	responsibility	1	9.885330170027679e-05	2	0.000385579332947754
72	try	6	0.0005931198102016608	1	0.000192789666473877
73	myth.	2	0.00019770660340055358	1	0.000192789666473877
74	worst	5	0.0004942665085013839	2	0.000385579332947754
75	standing	3	0.0002965599051008304	1	0.000192789666473877
76	competent	2	0.00019770660340055358	1	0.000192789666473877
77	insinuate	1	9.885330170027679e-05	2	0.000385579332947754
78	dream	4	0.00039541320680110717	1	0.000192789666473877
79	there.	3	0.0002965599051008304	1	0.000192789666473877
80	attempts	2	0.00019770660340055358	1	0.000192789666473877
81	highlight	3	0.0002965599051008304	1	0.000192789666473877
82	tells	13	0.0012850929221035982	7	0.001349527665317139
83	know	16	0.0015816528272044287	6	0.001156737998843262
84	endearing	1	9.885330170027679e-05	2	0.000385579332947754
85	running	1	9.885330170027679e-05	2	0.000385579332947754
86	freaks	4	0.00039541320680110717	1	0.000192789666473877
87	one	21	0.0020759193357058124	3	0.000578368999421631
88	comment	1	9.885330170027679e-05	4	0.000771158665895508
89	take.	2	0.00019770660340055358	1	0.000192789666473877
90	offering	2	0.00019770660340055358	1	0.000192789666473877
91	frighteningly	2	0.00019770660340055358	1	0.000192789666473877
92	slightly	3	0.0002965599051008304	1	0.000192789666473877
93	each-other	2	0.00019770660340055358	1	0.000192789666473877
94	whom	3	0.0002965599051008304	1	0.000192789666473877
95	singing	2	0.00019770660340055358	1	0.000192789666473877
96	did.	3	0.0002965599051008304	1	0.000192789666473877
97	themselves	2	0.00019770660340055358	2	0.000385579332947754
98	a	4	0.00039541320680110717	1	0.000192789666473877
99	monkey	8	0.0007908264136022143	2	0.000385579332947754
100	hearing	3	0.0002965599051008304	1	0.000192789666473877
101	psychologist	2	0.00019770660340055358	1	0.000192789666473877
102	stride	3	0.0002965599051008304	1	0.000192789666473877
103	principals	2	0.00019770660340055358	1	0.000192789666473877
104	ok	2	0.00019770660340055358	2	0.000385579332947754
105	delve	2	0.00019770660340055358	1	0.000192789666473877
106	girls	12	0.0011862396204033216	2	0.000385579332947754
107	relate	2	0.00019770660340055358	1	0.000192789666473877
108	insecurity	2	0.00019770660340055358	1	0.000192789666473877
109	near	2	0.00019770660340055358	1	0.000192789666473877
110	favorite	6	0.0005931198102016608	4	0.000771158665895508
111	ensemble	2	0.00019770660340055358	1	0.000192789666473877
112	dumps	1	9.885330170027679e-05	3	0.000578368999421631
113	record	3	0.0002965599051008304	1	0.000192789666473877
114	canada	1	9.885330170027679e-05	2	0.000385579332947754
115	hear	3	0.0002965599051008304	1	0.000192789666473877
116	triangle	2	0.00019770660340055358	2	0.000385579332947754
117	pain	3	0.0002965599051008304	1	0.000192789666473877
118	coupling	1	9.885330170027679e-05	2	0.000385579332947754
119	guest	3	0.0002965599051008304	2	0.000385579332947754
120	screenplay	1	9.885330170027679e-05	2	0.000385579332947754
121	am	2	0.00019770660340055358	3	0.000578368999421631
122	side	5	0.0004942665085013839	2	0.000385579332947754
123	kept	2	0.00019770660340055358	2	0.000385579332947754
124	inconsistency	2	0.00019770660340055358	1	0.000192789666473877
125	courtney	2	0.00019770660340055358	2	0.000385579332947754
126	judy/jack	2	0.00019770660340055358	1	0.000192789666473877
127	fourth	1	9.885330170027679e-05	2	0.000385579332947754
128	s	2	0.00019770660340055358	1	0.000192789666473877
129	each-others	2	0.00019770660340055358	1	0.000192789666473877
130	here.	4	0.00039541320680110717	2	0.000385579332947754
131	flirt	2	0.00019770660340055358	1	0.000192789666473877
132	dudley	2	0.00019770660340055358	1	0.000192789666473877
133	chemistry	4	0.00039541320680110717	3	0.000578368999421631
134	eager	2	0.00019770660340055358	1	0.000192789666473877
135	night	3	0.0002965599051008304	1	0.000192789666473877
136	porn	1	9.885330170027679e-05	3	0.000578368999421631
137	manages	2	0.00019770660340055358	2	0.000385579332947754
138	kisses	4	0.00039541320680110717	1	0.000192789666473877
139	guys	4	0.00039541320680110717	1	0.000192789666473877
140	dvd	2	0.00019770660340055358	1	0.000192789666473877
141	job	18	0.0017793594306049821	3	0.000578368999421631
142	incident	3	0.0002965599051008304	1	0.000192789666473877
143	addition	2	0.00019770660340055358	1	0.000192789666473877
144	hombre	2	0.00019770660340055358	1	0.000192789666473877
145	scornful	2	0.00019770660340055358	1	0.000192789666473877
146	divides	3	0.0002965599051008304	1	0.000192789666473877
147	abusing	2	0.00019770660340055358	1	0.000192789666473877
148	parties	3	0.0002965599051008304	2	0.000385579332947754
149	hates	5	0.0004942665085013839	2	0.000385579332947754
150	compete	2	0.00019770660340055358	1	0.000192789666473877
151	finale	2	0.00019770660340055358	1	0.000192789666473877
152	something	4	0.00039541320680110717	2	0.000385579332947754
153	assistant	2	0.00019770660340055358	1	0.000192789666473877
154	gentleman	2	0.00019770660340055358	1	0.000192789666473877
155	'day	2	0.00019770660340055358	1	0.000192789666473877
156	.......	2	0.00019770660340055358	1	0.000192789666473877
157	octogenarian	2	0.00019770660340055358	1	0.000192789666473877
158	football.	2	0.00019770660340055358	1	0.000192789666473877
159	fake	2	0.00019770660340055358	1	0.000192789666473877
160	middle	2	0.00019770660340055358	1	0.000192789666473877
161	wear	3	0.0002965599051008304	1	0.000192789666473877
162	based	1	9.885330170027679e-05	4	0.000771158665895508
163	much	23	0.002273625939106366	5	0.000963948332369385
164	realised	2	0.00019770660340055358	1	0.000192789666473877
165	deliveryman.	2	0.00019770660340055358	1	0.000192789666473877
166	family	5	0.0004942665085013839	1	0.000192789666473877
167	involved	1	9.885330170027679e-05	2	0.000385579332947754
168	first	32	0.0031633056544088573	9	0.001735106998264893
169	buffoon	1	9.885330170027679e-05	2	0.000385579332947754
170	final	2	0.00019770660340055358	1	0.000192789666473877
171	voice	1	9.885330170027679e-05	2	0.000385579332947754
172	him	46	0.004547251878212732	8	0.001542317331791016
173	stomach	2	0.00019770660340055358	1	0.000192789666473877
174	eats	2	0.00019770660340055358	1	0.000192789666473877
175	arena	2	0.00019770660340055358	1	0.000192789666473877
176	biting	1	9.885330170027679e-05	2	0.000385579332947754
177	tighter	1	9.885330170027679e-05	2	0.000385579332947754
178	contains	3	0.0002965599051008304	1	0.000192789666473877
179	nicknamed	2	0.00019770660340055358	1	0.000192789666473877
180	ground	2	0.00019770660340055358	1	0.000192789666473877
181	breakup	4	0.00039541320680110717	1	0.000192789666473877
182	impact	3	0.0002965599051008304	3	0.000578368999421631
183	losing	2	0.00019770660340055358	1	0.000192789666473877
184	brutally	2	0.00019770660340055358	1	0.000192789666473877
185	ms	1	9.885330170027679e-05	2	0.000385579332947754
186	outdoes	2	0.00019770660340055358	1	0.000192789666473877
187	undoubtedly	3	0.0002965599051008304	1	0.000192789666473877
188	quote	2	0.00019770660340055358	1	0.000192789666473877
189	her.	2	0.00019770660340055358	1	0.000192789666473877
190	bit	17	0.0016805061289047055	5	0.000963948332369385
191	princess	2	0.00019770660340055358	1	0.000192789666473877
192	humble	1	9.885330170027679e-05	2	0.000385579332947754
193	wish	1	9.885330170027679e-05	2	0.000385579332947754
194	end	18	0.0017793594306049821	1	0.000192789666473877
195	missing	2	0.00019770660340055358	1	0.000192789666473877
196	house	2	0.00019770660340055358	2	0.000385579332947754
197	burke	2	0.00019770660340055358	1	0.000192789666473877
198	playing	4	0.00039541320680110717	3	0.000578368999421631
199	precise	2	0.00019770660340055358	1	0.000192789666473877
200	their	41	0.004052985369711349	8	0.001542317331791016
201	tight	2	0.00019770660340055358	1	0.000192789666473877
202	pine	2	0.00019770660340055358	1	0.000192789666473877
203	message	4	0.00039541320680110717	1	0.000192789666473877
204	intentional	2	0.00019770660340055358	1	0.000192789666473877
205	isn't.	2	0.00019770660340055358	1	0.000192789666473877
206	ham	3	0.0002965599051008304	1	0.000192789666473877
207	cab	1	9.885330170027679e-05	2	0.000385579332947754
208	doctor	2	0.00019770660340055358	2	0.000385579332947754
209	german	3	0.0002965599051008304	1	0.000192789666473877
210	chandler.	2	0.00019770660340055358	1	0.000192789666473877
211	fleshed	2	0.00019770660340055358	1	0.000192789666473877
212	exactly	4	0.00039541320680110717	2	0.000385579332947754
213	accompanies	3	0.0002965599051008304	1	0.000192789666473877
214	phd	2	0.00019770660340055358	1	0.000192789666473877
215	stay	2	0.00019770660340055358	1	0.000192789666473877
216	memorable	2	0.00019770660340055358	2	0.000385579332947754
217	everyday	2	0.00019770660340055358	1	0.000192789666473877
218	masse	1	9.885330170027679e-05	2	0.000385579332947754
219	face	3	0.0002965599051008304	1	0.000192789666473877
220	usual.but	2	0.00019770660340055358	1	0.000192789666473877
221	personalities	3	0.0002965599051008304	1	0.000192789666473877
222	finest	3	0.0002965599051008304	1	0.000192789666473877
223	particularly	2	0.00019770660340055358	1	0.000192789666473877
224	allergic	2	0.00019770660340055358	1	0.000192789666473877
225	days	4	0.00039541320680110717	1	0.000192789666473877
226	works	3	0.0002965599051008304	1	0.000192789666473877
227	planned.	2	0.00019770660340055358	1	0.000192789666473877
228	term	2	0.00019770660340055358	1	0.000192789666473877
